machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,select,32,branchy,0.99000,0,67108864,268435456,41032000.0,6.542,1.636,0.00,18.24,19.33,0.3586,66437775,66437775
i9-9980HK,x86_64,select,32,predicated,0.99000,0,67108864,268435456,44558000.0,6.024,1.506,0.00,18.24,19.33,0.3302,66437775,66437775
i9-9980HK,x86_64,select,32,branchy,0.90000,0,67108864,268435456,81547000.0,3.292,0.823,0.00,18.24,19.33,0.1805,60397978,60397978
i9-9980HK,x86_64,select,32,predicated,0.90000,0,67108864,268435456,43407000.0,6.184,1.546,0.00,18.24,19.33,0.3390,60397978,60397978
i9-9980HK,x86_64,select,32,branchy,0.75000,0,67108864,268435456,148154000.0,1.812,0.453,0.00,18.24,19.33,0.0993,50331648,50331648
i9-9980HK,x86_64,select,32,predicated,0.75000,0,67108864,268435456,43559000.0,6.163,1.541,0.00,18.24,19.33,0.3378,50331648,50331648
i9-9980HK,x86_64,select,32,branchy,0.50000,0,67108864,268435456,220314000.0,1.218,0.305,0.00,18.24,19.33,0.0668,33554432,33554432
i9-9980HK,x86_64,select,32,predicated,0.50000,0,67108864,268435456,43073000.0,6.232,1.558,0.00,18.24,19.33,0.3416,33554432,33554432
i9-9980HK,x86_64,select,32,branchy,0.25000,0,67108864,268435456,153914000.0,1.744,0.436,0.00,18.24,19.33,0.0956,16777216,16777216
i9-9980HK,x86_64,select,32,predicated,0.25000,0,67108864,268435456,42705000.0,6.286,1.571,0.00,18.24,19.33,0.3446,16777216,16777216
i9-9980HK,x86_64,select,32,branchy,0.10000,0,67108864,268435456,74598000.0,3.598,0.900,0.00,18.24,19.33,0.1973,6710886,6710886
i9-9980HK,x86_64,select,32,predicated,0.10000,0,67108864,268435456,42340000.0,6.340,1.585,0.00,18.24,19.33,0.3475,6710886,6710886
i9-9980HK,x86_64,select,32,branchy,0.05000,0,67108864,268435456,56720000.0,4.733,1.183,0.00,18.24,19.33,0.2594,3355443,3355443
i9-9980HK,x86_64,select,32,predicated,0.05000,0,67108864,268435456,42273000.0,6.350,1.588,0.00,18.24,19.33,0.3481,3355443,3355443
i9-9980HK,x86_64,select,32,branchy,0.01000,0,67108864,268435456,33827000.0,7.936,1.984,0.00,18.24,19.33,0.4350,671089,671089
i9-9980HK,x86_64,select,32,predicated,0.01000,0,67108864,268435456,42125000.0,6.372,1.593,0.00,18.24,19.33,0.3493,671089,671089
i9-9980HK,x86_64,select,32,branchy,0.00100,0,67108864,268435456,28579000.0,9.393,2.348,0.00,18.24,19.33,0.5149,67109,67109
i9-9980HK,x86_64,select,32,predicated,0.00100,0,67108864,268435456,42131000.0,6.371,1.593,0.00,18.24,19.33,0.3493,67109,67109
i9-9980HK,x86_64,select,32,branchy,0.00010,0,67108864,268435456,27610000.0,9.722,2.431,0.00,18.24,19.33,0.5330,6711,6711
i9-9980HK,x86_64,select,32,predicated,0.00010,0,67108864,268435456,41462000.0,6.474,1.619,0.00,18.24,19.33,0.3549,6711,6711
