machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,select,32,branchy,0.99000,0,67108864,268435456,23791000.0,11.283,2.821,0.00,69.65,94.17,0.1620,66437775,66437775
M4,arm64,select,32,predicated,0.99000,0,67108864,268435456,16848000.0,15.933,3.983,0.00,69.65,94.17,0.2288,66437775,66437775
M4,arm64,select,32,branchy,0.90000,0,67108864,268435456,52006000.0,5.162,1.290,0.00,69.65,94.17,0.0741,60397978,60397978
M4,arm64,select,32,predicated,0.90000,0,67108864,268435456,16729000.0,16.046,4.012,0.00,69.65,94.17,0.2304,60397978,60397978
M4,arm64,select,32,branchy,0.75000,0,67108864,268435456,97764000.0,2.746,0.686,0.00,69.65,94.17,0.0394,50331648,50331648
M4,arm64,select,32,predicated,0.75000,0,67108864,268435456,16712000.0,16.062,4.016,0.00,69.65,94.17,0.2306,50331648,50331648
M4,arm64,select,32,branchy,0.50000,0,67108864,268435456,171313000.0,1.567,0.392,0.00,69.65,94.17,0.0225,33554432,33554432
M4,arm64,select,32,predicated,0.50000,0,67108864,268435456,16656000.0,16.116,4.029,0.00,69.65,94.17,0.2314,33554432,33554432
M4,arm64,select,32,branchy,0.25000,0,67108864,268435456,106251000.0,2.526,0.632,0.00,69.65,94.17,0.0363,16777216,16777216
M4,arm64,select,32,predicated,0.25000,0,67108864,268435456,16661000.0,16.112,4.028,0.00,69.65,94.17,0.2313,16777216,16777216
M4,arm64,select,32,branchy,0.10000,0,67108864,268435456,53910000.0,4.979,1.245,0.00,69.65,94.17,0.0715,6710886,6710886
M4,arm64,select,32,predicated,0.10000,0,67108864,268435456,16585000.0,16.185,4.046,0.00,69.65,94.17,0.2324,6710886,6710886
M4,arm64,select,32,branchy,0.05000,0,67108864,268435456,36760000.0,7.302,1.826,0.00,69.65,94.17,0.1048,3355443,3355443
M4,arm64,select,32,predicated,0.05000,0,67108864,268435456,16621000.0,16.150,4.038,0.00,69.65,94.17,0.2319,3355443,3355443
M4,arm64,select,32,branchy,0.01000,0,67108864,268435456,20821000.0,12.893,3.223,0.00,69.65,94.17,0.1851,671089,671089
M4,arm64,select,32,predicated,0.01000,0,67108864,268435456,16577000.0,16.193,4.048,0.00,69.65,94.17,0.2325,671089,671089
M4,arm64,select,32,branchy,0.00100,0,67108864,268435456,17024000.0,15.768,3.942,0.00,69.65,94.17,0.2264,67109,67109
M4,arm64,select,32,predicated,0.00100,0,67108864,268435456,16629000.0,16.143,4.036,0.00,69.65,94.17,0.2318,67109,67109
M4,arm64,select,32,branchy,0.00010,0,67108864,268435456,16146000.0,16.626,4.156,0.00,69.65,94.17,0.2387,6711,6711
M4,arm64,select,32,predicated,0.00010,0,67108864,268435456,16637000.0,16.135,4.034,0.00,69.65,94.17,0.2317,6711,6711
