machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,bitpack-scalar,3,branchy,1.00000,0,67108864,25165824,238707000.0,0.105,0.281,0.00,14.31,17.58,0.0074,67108864,67108864
i9-9980HK,x86_64,bitpack-scalar,3,branchfree,1.00000,0,67108864,25165824,237353000.0,0.106,0.283,0.00,14.31,17.58,0.0074,67108864,67108864
i9-9980HK,x86_64,fastlanes,3,branchy,1.00000,0,67108864,25165824,14783000.0,1.702,4.540,0.00,14.31,17.58,0.1190,67108864,67108864
i9-9980HK,x86_64,fastlanes,3,branchfree,1.00000,0,67108864,25165824,9092000.0,2.768,7.381,0.00,14.31,17.58,0.1935,67108864,67108864
i9-9980HK,x86_64,bitpack-scalar,3,branchy,0.50000,0,67108864,25165824,268004000.0,0.094,0.250,0.00,14.31,17.58,0.0066,33554432,33554432
i9-9980HK,x86_64,bitpack-scalar,3,branchfree,0.50000,0,67108864,25165824,262341000.0,0.096,0.256,0.00,14.31,17.58,0.0067,33554432,33554432
i9-9980HK,x86_64,fastlanes,3,branchy,0.50000,0,67108864,25165824,15899000.0,1.583,4.221,0.00,14.31,17.58,0.1106,33554432,33554432
i9-9980HK,x86_64,fastlanes,3,branchfree,0.50000,0,67108864,25165824,9054000.0,2.780,7.412,0.00,14.31,17.58,0.1943,33554432,33554432
i9-9980HK,x86_64,bitpack-scalar,3,branchy,0.10000,0,67108864,25165824,256971000.0,0.098,0.261,0.00,14.31,17.58,0.0068,6710886,6710886
i9-9980HK,x86_64,bitpack-scalar,3,branchfree,0.10000,0,67108864,25165824,257798000.0,0.098,0.260,0.00,14.31,17.58,0.0068,6710886,6710886
i9-9980HK,x86_64,fastlanes,3,branchy,0.10000,0,67108864,25165824,16508000.0,1.524,4.065,0.00,14.31,17.58,0.1066,6710886,6710886
