machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,bitpack-scalar,3,branchy,1.00000,0,67108864,25165824,32841000.0,0.766,2.043,0.00,70.15,93.79,0.0109,67108864,67108864
M4,arm64,bitpack-scalar,3,branchfree,1.00000,0,67108864,25165824,32199000.0,0.782,2.084,0.00,70.15,93.79,0.0111,67108864,67108864
M4,arm64,fastlanes,3,branchy,1.00000,0,67108864,25165824,12138000.0,2.073,5.529,0.00,70.15,93.79,0.0296,67108864,67108864
M4,arm64,fastlanes,3,branchfree,1.00000,0,67108864,25165824,7982000.0,3.153,8.408,0.00,70.15,93.79,0.0449,67108864,67108864
M4,arm64,bitpack-scalar,3,branchy,0.50000,0,67108864,25165824,31977000.0,0.787,2.099,0.00,70.15,93.79,0.0112,33554432,33554432
M4,arm64,bitpack-scalar,3,branchfree,0.50000,0,67108864,25165824,32387000.0,0.777,2.072,0.00,70.15,93.79,0.0111,33554432,33554432
M4,arm64,fastlanes,3,branchy,0.50000,0,67108864,25165824,12222000.0,2.059,5.491,0.00,70.15,93.79,0.0294,33554432,33554432
M4,arm64,fastlanes,3,branchfree,0.50000,0,67108864,25165824,8012000.0,3.141,8.376,0.00,70.15,93.79,0.0448,33554432,33554432
M4,arm64,bitpack-scalar,3,branchy,0.10000,0,67108864,25165824,32538000.0,0.773,2.062,0.00,70.15,93.79,0.0110,6710886,6710886
M4,arm64,bitpack-scalar,3,branchfree,0.10000,0,67108864,25165824,32432000.0,0.776,2.069,0.00,70.15,93.79,0.0111,6710886,6710886
M4,arm64,fastlanes,3,branchy,0.10000,0,67108864,25165824,12437000.0,2.023,5.396,0.00,70.15,93.79,0.0288,6710886,6710886
M4,arm64,fastlanes,3,branchfree,0.10000,0,67108864,25165824,8088000.0,3.112,8.297,0.00,70.15,93.79,0.0444,6710886,6710886
M4,arm64,bitpack-scalar,3,branchy,0.01000,0,67108864,25165824,32365000.0,0.778,2.074,0.00,70.15,93.79,0.0111,671089,671089
M4,arm64,bitpack-scalar,3,branchfree,0.01000,0,67108864,25165824,32489000.0,0.775,2.066,0.00,70.15,93.79,0.0110,671089,671089
M4,arm64,fastlanes,3,branchy,0.01000,0,67108864,25165824,12217000.0,2.060,5.493,0.00,70.15,93.79,0.0294,671089,671089
M4,arm64,fastlanes,3,branchfree,0.01000,0,67108864,25165824,8063000.0,3.121,8.323,0.00,70.15,93.79,0.0445,671089,671089
