machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,fullscan,16,branchfree,0.50000,0,67108864,134217728,11198000.0,11.986,5.993,0.00,18.00,19.12,0.6660,33554432,33554432
i9-9980HK,x86_64,zonemap,16,branchfree,0.50000,0,67108864,134217728,241481000.0,0.556,0.278,0.00,18.00,19.12,0.0309,33554432,33554432
i9-9980HK,x86_64,fullscan,16,branchfree,0.10000,0,67108864,134217728,11447000.0,11.725,5.863,0.00,18.00,19.12,0.6515,6710886,6710886
i9-9980HK,x86_64,zonemap,16,branchfree,0.10000,0,67108864,134217728,235452000.0,0.570,0.285,0.00,18.00,19.12,0.0317,6710886,6710886
i9-9980HK,x86_64,fullscan,16,branchfree,0.01000,0,67108864,134217728,11118000.0,12.072,6.036,0.00,18.00,19.12,0.6708,671089,671089
i9-9980HK,x86_64,zonemap,16,branchfree,0.01000,0,67108864,134217728,292279000.0,0.459,0.230,0.00,18.00,19.12,0.0255,671089,671089
i9-9980HK,x86_64,fullscan,16,branchfree,0.00100,0,67108864,134217728,11131000.0,12.058,6.029,0.00,18.00,19.12,0.6700,67109,67109
i9-9980HK,x86_64,zonemap,16,branchfree,0.00100,0,67108864,134201344,236902000.0,0.566,0.283,0.00,18.00,19.12,0.0315,67109,67109
i9-9980HK,x86_64,fullscan,16,branchfree,0.00010,0,67108864,134217728,11419000.0,11.754,5.877,0.00,18.00,19.12,0.6531,6711,6711
i9-9980HK,x86_64,zonemap,16,branchfree,0.00010,0,67108864,81985536,144108000.0,0.569,0.466,0.00,18.00,19.12,0.0316,6711,6711
i9-9980HK,x86_64,fullscan,16,branchfree,0.50000,1,67108864,134217728,11911000.0,11.268,5.634,0.00,18.00,19.12,0.6261,1024,1024
i9-9980HK,x86_64,zonemap,16,branchfree,0.50000,1,67108864,16384,45000.0,0.364,1491.308,0.00,18.00,19.12,0.0202,1024,1024
i9-9980HK,x86_64,fullscan,16,branchfree,0.10000,1,67108864,134217728,11382000.0,11.792,5.896,0.00,18.00,19.12,0.6552,1024,1024
i9-9980HK,x86_64,zonemap,16,branchfree,0.10000,1,67108864,16384,45000.0,0.364,1491.308,0.00,18.00,19.12,0.0202,1024,1024
i9-9980HK,x86_64,fullscan,16,branchfree,0.01000,1,67108864,134217728,11365000.0,11.810,5.905,0.00,18.00,19.12,0.6562,1024,1024
i9-9980HK,x86_64,zonemap,16,branchfree,0.01000,1,67108864,16384,45000.0,0.364,1491.308,0.00,18.00,19.12,0.0202,1024,1024
i9-9980HK,x86_64,fullscan,16,branchfree,0.00100,1,67108864,134217728,11467000.0,11.705,5.852,0.00,18.00,19.12,0.6503,1024,1024
i9-9980HK,x86_64,zonemap,16,branchfree,0.00100,1,67108864,16384,45000.0,0.364,1491.308,0.00,18.00,19.12,0.0202,1024,1024
i9-9980HK,x86_64,fullscan,16,branchfree,0.00010,1,67108864,134217728,11676000.0,11.495,5.748,0.00,18.00,19.12,0.6387,1024,1024
i9-9980HK,x86_64,zonemap,16,branchfree,0.00010,1,67108864,16384,45000.0,0.364,1491.308,0.00,18.00,19.12,0.0202,1024,1024
